tx_err_x,tx_err_y,tx_err_px
59.027283,7.7830505,59.53819
381.68317,1.0014343,381.68448
327.87103,7.2040405,327.95016
33.058838,22.128418,39.781322
7.2807007,1.9963684,7.549443
112.4411,10.9175415,112.96988
49.249573,12.561523,50.826298
200.65356,10.496796,200.92793
24.381226,1.0478516,24.403732
652.6293,1.6629333,652.6314
440.7359,0.24450684,440.736
366.54242,12.217133,366.74597
207.65588,6.375366,207.75372
38.272156,6.5939026,38.836033
62.84442,0.8836975,62.850636
77.44507,8.327545,77.89151
849.31384,0.6174927,849.3141
5.628418,3.2512207,6.4999638
565.6195,2.8379211,565.62665
53.0614,14.79837,55.08633
319.19373,12.885284,319.4537
448.75055,4.987091,448.77826
54.282227,8.195343,54.897392
534.17065,4.321411,534.1881
43.64691,14.588898,46.020523
11.763733,14.120941,18.378965
14.853699,18.266235,23.543316
593.0173,0.18536377,593.01733
470.34637,27.501587,471.14972
125.6413,26.684723,128.4438
22.547363,19.783173,29.995958
14.699829,9.044098,17.25922
13.730225,11.928528,18.18815
227.7528,34.179718,230.30327
32.326416,23.628906,40.041508
262.45288,21.006134,263.29218
213.28607,25.013855,214.74785
151.19983,18.829529,152.36778
195.27618,20.32721,196.33131
121.74512,27.005463,124.70432
11.395508,7.820984,13.821194
184.80316,6.1693726,184.90611
352.16052,5.262512,352.19983
441.4635,14.931763,441.71594
411.227,4.6268005,411.25302
39.909485,5.1021423,40.2343
22.05188,17.848083,28.369694
109.731995,7.4089355,109.98183
39.139954,9.135315,40.191914
89.39752,15.179199,90.67704
50.476807,3.7080994,50.612823
190.14105,4.3063965,190.18982
188.81348,5.0270996,188.88039
260.11926,25.47174,261.36343
558.1235,13.18042,558.27905
834.60547,32.60623,835.2422
55.90161,27.193634,62.164974
168.2987,18.080566,169.26714
38.05951,11.447479,39.743816
17.35321,27.265564,32.31942
69.322205,21.044525,72.44612
131.88385,5.4605713,131.99684
56.801025,10.4133,57.74767
610.9221,15.533783,611.11957
148.20984,10.90271,148.61032
135.70679,1.5050659,135.71513
261.44562,2.7370605,261.45996
12.142029,2.5920105,12.41561
183.6579,8.342804,183.84729
60.48645,5.573059,60.742653
76.55463,0.014434814,76.55463
158.74066,8.422333,158.96394
598.40515,14.225403,598.5742
323.86517,22.960602,324.67804
470.15872,7.9422913,470.2258
200.23962,5.9167175,200.32701
720.0398,13.201721,720.1608
37.977417,10.020416,39.27713
23.645935,3.8526917,23.957745
312.28406,0.9255066,312.28543
783.0455,1.5298157,783.04694
516.431,30.180603,517.31213
198.11572,14.490509,198.64494
839.2605,6.325531,839.2843
23.492737,28.933716,37.27021
131.43994,6.602234,131.60565
23.441833,1.8563538,23.51522
362.4879,0.082733154,362.4879
358.3484,18.157227,358.8081
24.672546,9.920837,26.592434
481.386,2.4806213,481.3924
16.394775,11.581238,20.072712
112.82257,6.1032104,112.987526
907.24164,6.004669,907.2615
263.39142,24.595947,264.53732
91.589355,3.937561,91.67396
363.27972,31.01587,364.60135
221.09601,18.010162,221.82834
19.84375,14.256561,24.434072
509.1001,15.826752,509.34604
356.41718,4.494995,356.44553
330.32635,6.5370483,330.39102
73.567566,10.286316,74.2832
117.97528,24.620209,120.51689
25.998718,4.852844,26.44775
223.39478,8.86792,223.57072
86.48352,0.29040527,86.48401
26.316162,16.280304,30.944931
222.40088,7.8022156,222.5377
479.60126,0.7530823,479.60184
13.695923,8.496033,16.117098
11.4765625,1.1333618,11.53239
204.95105,0.1975708,204.95114
42.049683,12.05307,43.743027
55.38086,4.6237183,55.57354
39.54828,15.561981,42.4999
419.54865,8.691803,419.63867
143.19604,7.038513,143.36893
244.02411,8.059631,244.15717
108.00073,6.182678,108.17756
13.999878,18.07254,22.860737
114.70477,15.975922,115.81198
8.643066,19.130035,20.991924
535.21765,12.2638855,535.35815
46.77771,5.375366,47.085545
271.9447,18.987122,272.60672
